party,work_for
Perussuomalaiset,"Suomen vienti vetämään, talous nousuun ja  Suomen kokonaisetu huomioitava päätöksenteossa. Köyhyyden, eriarvoisuuden ja syrjäytymisen vähentäminen on sisällytettävä hallitusohjelmaan"
Vihreä liitto,Luonnon monimuotoisuuden köyhtyminen on pysäytettävä ja ilmastonmuutoksen hillitsemiseksi on tehtävä kaikki voitava. Suomi on säilytettävä elinkelpoisena kaikille.
Vasemmistoliitto,"TYöttömyysasioita, asumiskustannuksien kohtuullistamista ja siihen liittyen kohtuhintaisten vuokra-asuntojen rakentamista,vanhustenhoitoa,terveyspalveluiden joustavaa saatavuutta,omaishoitajien korvaus lainvelvoittavaksi pakoksi kunnille,yritystoiminnan järkevää tukemista,että niitä paljon kaivattuja työpaikkoja oikeasti tulee lisää Suomeen, kehitysavun muuttamista vapaaehtoiseksi ja nykyisten kehitysapurahojen käyttämistä suomalaisten hyväksi."
Suomen Kristillisdemokraatit (KD),"Lähden tekemään työtä niin ihmisten kuin ympäristönkin puolesta, ja huolehtimaan varsinkin siitä, että koko Lappi säilyy jatkossakin asuttuna ja elinvoimaisena."
Vihreä liitto,"Haluan edistää työn- ja sosiaaliturvan yhteensovittamista ja saada kirjauksen hallitusohjelmaan perustulokokeilun toteuttamisesta. Esitän kokeilumaakunnaksi Keski-Suomea.     Suomalainen rakennuskanta ja infrastruktuuri rapistuu käsiimme ja sen korjausvelan suuruudeksi on arvioitu 30-50 miljardia euroa. Nyt jos koskaan tulee toteuttaa laaja julkisten investointien ohjelma New Deal -hengessä, jolla korjaamme Suomen, luomme uutta työtä ja saamme talouden kestävällä tavalla kasvuun.    Edistän vastuullista ympäristöpolitiikkaa, jossa suojellaan suomalaiset suot, hoidetaan metsiä kestävällä tavalla sekä laaditaan kunnianhimoinen ilmastosopimus nyt hyväksytyn ilmastolain pohjalta."
Vihreä liitto,#NIMI?
Vasemmistoliitto,"Haluan edistää ihmisiä palvelevan talouden rakentamista, sujuvaa liikennettä Pirkanmaalla ja hyvien julkisten palveluiden säilyttämistä."
Vasemmistoliitto,Sote-uudistuksen eteneminen perustuslain henkeä noudattaen; vanhuspalvelujen kehittäminen; koulutuspalvelujen pelastaminen säästöiltä.
Perussuomalaiset,Ikäihmisten hoito ja hyvät palvelut.  Yrittäjän sosiaaliturva ja verotus.  Lasten ja lapsiperheiden tuki ja turvallisuus.  Työllistäminen.
Vasemmistoliitto,"Työtä on löydettävä kaikille,suomen pitää elvyttää ja auttaa yrityksiä ja työntekijöitä."
Vasemmistoliitto,"Talouspolitiikan suunnanmuutos on se kaikista tärkein. Leikkaukset ovat vain pahentaneet ongelmaa, joka niiden piti korjata, joten nyt on aika luoda työpaikkoja ja hyvinvointia -Lapin luonnon, ihmisten ja työpaikkojen puolesta!"
Perussuomalaiset,Aion torjua Guggenheim-museohankkeen. Helsinkiläisten veronmaksajien rahoja ei pidä sijoittaa yksityisen säätiön bisnekseen. Aion edistää autoverotuksen järkeistämistä ja torjua ruuhkamaksut. Helsinkiläisten asumisedellytyksiä kotikaupungissa on parannettava.
Vasemmistoliitto,"Perusturvan nostamista tasolle, jolla pystyy elämään; perusturvan yksinkertaistamista. Sujuvaa arkea ja perheiden, lasten ja nuorten hyvinvointia edistäviä asioita, kuten peruspalveluiden saatavuuden takaamista. Peruskoulun vaalimista julkisena palveluna!"
Perussuomalaiset,"Maaseudun ja haja-asutusalueiden hyvinvointi, lähipalvelut, koulut ja lähiruoka sekä yrittäjyys ovat sydäntäni lähellä. Suomessa pitää pystyä asumaan muuallakin kuin kasvukeskuksissa."
Kansallinen Kokoomus,"Suomen sisäinen turvallisuus ja maanpuolustuksen korkea taso ovat asioita joista ei saa missään olosuhteissa tinkiä.    Viranomaisille on taattava riittävät resurssit, sekä työrauha.    Terveydenhuollossa on tehtävä suuri rakenneuudistus ja etenkin yksilönvastuuta on korostettava."
Suomen Sosialidemokraattinen Puolue,Haluan olla mukana kehittämässä parempaa ja oikeudenmukaisempaa työelämää.
Kansallinen Kokoomus,"Edistän terveys- ja hyvinvointipalvelujen saatavuutta, yrittäjän mahdollisuutta liikeideansa toteuttamiseen, turvallisia elinolosuhteita, koulutuksen ja innovaatioiden muuttumista menestyksiksi."
Vasemmistoliitto,"Vaaliteemojani eduskuntavaaleissa ovat liikunta, asuminen, talous ja ympäristö. Lue lisää minusta ja teemoistani: http://ehdokas.vasemmisto.fi/rikuahola"
Suomen Sosialidemokraattinen Puolue,Perheitä tulee tukea nykyistä voimakkaammin. Haluan reilut työehdot kaikille.
Suomen Kristillisdemokraatit (KD),"Hyvinvointia, nuorten työllistymistä ja sosiaalisen eriarvoisuuden vähentämistä."
Suomen Kristillisdemokraatit (KD),Haluan puolustaa perheitä ja heikompi osaisia.
Suomen Kristillisdemokraatit (KD),"Koulutus ja tutkimus, Luova ala ja kulttuuri,   Perheiden ja lasten hyvinvointi. Yrittäjyys. Julkisen talouden tasapainottaminen. Turhan sääntelyn purku."
Vasemmistoliitto,Vaaliteemat sivulla http://www.birgitaittakumpu.fi/?page_id=65
Vihreä liitto,"Haluan edistää tsa-arvoa niin sosiaalisesti, alueellisesti kuin sukupuolten välilläkin. Tahdon olla tekemässä ratkaisuja, jotka ovat kestäviä paitsi luonnolle myös ihmiselle: uusiutuvaa energiaa on tuettava, ja päästöjä leikattava. Meidän on pystäytettävä ilmastonmuutos. Tahdon, edistää maaseudun elinvoimaisuutta vihreillä ratkaisuilla. Eläinten oikeuksia on parannettava."
Suomen Keskusta,"Suomi ja Varsinais-Suomi näivettyvät neljättä vuotta. Näin emme voi jatkaa. Suomi on saatava nousuun yhteisin ponnistuksin ja uudistuksin.  On päästävä pois mielikuvapolitiikkapolitiikasta. Nyt on toimittava tehokkaasti ja vaikuttavasti.  Peruspalvelujen pitää toimia ja velkaantuminen pitää saada hallintaan. Verotukseen palautettava suuri kuva ja työn ja eläkkeiden verotusta pitää keventää työllisyyttä edistävällä tavalla osana toimivaa yhteiskuntasopimusta. Vaalikaudella on mentävä määrätietoisesti kohti tavoitetta 200 000 uudesta työpaikasta yrittäjyyttä ja biotaloutta edistämällä, byrokratiaa purkamalla ja kilpailikykyämme parantamalla. Suomi nousuun!"
Vihreä liitto,"Perustulo. Rauhanhakuinen ulkopolitiikka. Hyvä koulutus ja matalan kynnyksen mielenterveyspalvelut. Puhdas energia ja ilmastolain hyvä toimeenpano. Nämä asiat vievät vaalitiimimme kaduille tänä keväänä, ja teen parhaani niiden toteutumiseksi!"
Vihreä liitto,"Vaalilauseeni on ""Ettei ketään jätettäisi"" ja vaaliohjelmani löytyy nettisivuiltani.     Vaalitavoitteeni ovat seuraavat:        1) RIITTÃ„VÃ„ PERUSTURVA     Vähennetään köyhyyttä, kavennetaan tulo- ja varallisuuseroja  ja pysäytetään eriarvoistuminen. Otetaan käyttöön perustulo, joka poistaa sosiaaliturvan aukot ja tekee työnteon aina kannattavaksi. Parannetaan pienituloisten yksinasuvien ja yksinhuoltajien asemaa. Säädetään verot maksukyvyn mukaan ja laitetaan veroparatiisit ja harmaa talous kuriin.       2) TURVAA TYÃ–ELÃ„MÃ„N EPÃ„VARMUUTEEN    Korjataan pätkätyöntekijöiden, yrittäjien, freelancereiden ja itsensä työllistävien sosiaaliturvan puutteet. Parannetaan pienyrittäjien toimintaedellytyksiä. Säädetään kaikille työtä tekeville yhtäläinen oikeus työttömyysturvaan, sairauspäivärahaan, vuosilomaan ja työterveyshuoltoon. Edistetään työelämän tasa-arvoa tasaamalla vanhemmuuden kustannukset.    3) KUNNIOITETAAN PERUS- JA IHMISOIKEUKSIA  Pidetään kiinni hyvinvointivaltiosta ja julkisen sektorin työpaikoista. Vahvistetaan julkista terveydenhuoltoa. Ehkäistään eriarvoisuutta ja syrjäytymistä. Puolustetaan vähemmistöjen oikeuksia. Ei kurjisteta palveluita väärillä leikkauksilla, ei hoideta vanhuksia liukuhihnatyönä eikä jätetä mielenterveyspotilasta jonoon.  Vahvistetaan vammaisten oikeutta itsenäiseen elämään ja yhdenvertaiseen kansalaisuuteen.    4) TURVATAAN KOULUTUS, SIVISTYS JA KULTTUURI   Rajoitetaan päivähoidon ja opetuksen enimmäisryhmäkokoa lailla. Pidetään kiinni subjektiivisesta päivähoito-oikeudesta. Ei säästetä lasten ja nuorten tulevaisuuden kustannuksella. Taataan kaikille nuorille opiskelupaikka. Turvataan taiteen, kulttuurin ja koulutuksen rahoitus. Säilytetään koulutus maksuttomana ja tasa-arvoisena.    5) SUOJELLAAN ARVOKAS LUONTO JA TORJUTAAN ILMASTONMUUTOS  Pelastetaan arvokkaat metsät, suot ja vapaat kosket ja perustetaan uusia kansallispuistoja. Hiili- ja ydinvoima korvataan uusiutuvalla, kotimaisella energialla ja näin luomme kymmeniätuhansia uusia työpaikkoja. Rakennetaan uudet asunnot joukkoliikenneyhteyksien varrelle. Suojellaan kaupunkiluontoa. Parannetaan tuotantoeläinten oloja ja vähennetään maatalouden päästöjä. Säädetään kaivosvero. Sovitetaan talous ympäristön ehtoihin."
Suomen Sosialidemokraattinen Puolue,"Kotimaisen energian lisääminen, työntekijän aseman turvaaminen, sekä pohjoisen elinvoimaisuuden lisääminen."
Suomen Keskusta,"Koko Suomen voimavarat on saatava käyttöön: laitetaan tiet kuntoon, myös maaseudulla. Huolehditaan alueiden lentoliikenteestä, myös Pirkkalasta suoraan maailmalle. Vähennetään säädöksiä, joilla vaikeutetaan maaseudulla elämistä ja sinne rakentamista. Toteutetaan alueellinen perustulokokeilu. Turvataan lukioiden ja ammattikoulujen toiminta maanlaajuisesti. Toteutetaan kyytitakuu eli asiointimatka kuntakeskukseen vähintään kaksi kertaa viikossa. Ei anneta kunnille uusia lakisääteisiä velvoitteita. Tasataan jo toteutettuja valtionosuusleikkauksia. Vähennetään yrittämistä ja työntekoa hankaloittavaa byrokratiaa. Pidetään huolta lapsista, sairaista, työttömistä ja vanhuksista."
Suomen Keskusta,Yrittäjyyttä ja bioenergiaa. Maaseudun kokonaisvaltaista hyvinvointia. Perheiden huomioimista aidosti eikä vain vaalipuheissa.
Kansallinen Kokoomus,Sosiaali- ja terveyspalveluihin asiakkaalle/ potilaalle valinnanvapaus kunta- tai maakuntarajojen estämättä.
