term,Perussuomalaiset freq,Vihreä liitto freq,Vasemmistoliitto freq,Suomen Kristillisdemokraatit (KD) freq,Kansallinen Kokoomus freq,Suomen Sosialidemokraattinen Puolue freq,Suomen Keskusta freq,Kokoomus_score,Perus_score,Keskusta_score,Krist_score,SDP_score,Vasen_score,Vihreä_score
suome,63,76,35,41,73,55,94,0.8286386720081294,0.08996314472703804,0.8614927247509219,0.777711458960073,0.08847671155804748,0.05307204802363841,0.08176709948969185
vient,4,1,0,2,3,1,1,0.7249616353819941,0.8377871673748611,0.2784997570876113,0.7023058208555226,0.2918005738844872,0.241277508949175,0.262485772282353
vetäm,1,0,0,0,1,0,0,0.5653252356515109,0.5670297407042129,0.471663263683927,0.47429352054303964,0.47318972213468247,0.47338367184447067,0.4706991160842901
talous,22,16,6,11,23,9,26,0.8547111150099699,0.8357570002789387,0.8705893575543175,0.781547716695308,0.05122809490791291,0.03336496139542944,0.06159763456167916
nousu,10,2,2,3,5,4,12,0.09198735788210866,0.8775994103916321,0.9138936864695086,0.0870929222641098,0.0899471783758552,0.04874071958288412,0.025157958295438876
ja,397,616,376,286,454,363,477,0.08975326950329282,0.08189333868972515,0.8241033062047052,0.7804466251667252,0.08536027754889097,0.7993253568963096,0.8226317286948115
kokonaisetu,1,0,0,0,1,0,0,0.5653252356515109,0.5670297407042129,0.471663263683927,0.47429352054303964,0.47318972213468247,0.47338367184447067,0.4706991160842901
huomioitav,2,1,0,0,1,1,2,0.4058778654462053,0.6614058229510424,0.6459919867121564,0.352976367862582,0.5,0.3480274546425687,0.3918413233051674
päätöksenteo,9,11,6,7,6,5,3,0.07586950854441327,0.8330503287442461,0.03137368886763309,0.8317890325196399,0.07749070873989955,0.7941789225604123,0.8376462955182419
köyhyyd,1,7,5,1,0,3,0,0.14458509783669565,0.19127474473699108,0.14012776031829932,0.21456876220504661,0.7273258510698202,0.8865827429026165,0.8895508573388893
eriarvoisuud,2,2,5,2,0,7,1,0.11744090962602993,0.1995214059369642,0.1499154878699248,0.6580594722704203,0.93237969956666,0.8719743993512425,0.16955698712075057
syrjäytymis,4,6,3,6,4,6,5,0.09238035618434298,0.10129842517547943,0.1237111203520091,0.8539630363214593,0.8277415682863787,0.08933472932133085,0.11415758665745251
vähentämin,2,3,7,1,2,2,4,0.15976959467588447,0.16955675450085123,0.756511412018485,0.15613298796978708,0.17842983959955655,0.9219677996172129,0.17358296527213118
on,234,215,157,61,264,198,226,0.8487627543069838,0.820108568095189,0.828670970043537,0.03522061853022346,0.8134149597234218,0.08231623464503929,0.07201907214337566
sisällytettäv,1,0,0,0,0,0,0,0.5,0.5844194629037044,0.5,0.5,0.5,0.5,0.5
hallitusohjelm,1,2,0,0,0,2,0,0.39125400802515276,0.5111754072592153,0.3897742061352295,0.39979182645404326,0.7089126871213027,0.3963248500349303,0.6260096047543893
suome vient,1,0,0,0,0,0,0,0.5,0.5844194629037044,0.5,0.5,0.5,0.5,0.5
vient vetäm,1,0,0,0,1,0,0,0.5653252356515109,0.5670297407042129,0.471663263683927,0.47429352054303964,0.47318972213468247,0.47338367184447067,0.4706991160842901
vetäm talous,1,0,0,0,0,0,0,0.5,0.5844194629037044,0.5,0.5,0.5,0.5,0.5
talous nousu,2,0,0,1,0,0,0,0.4445475431775871,0.7223199003595541,0.4437835904887715,0.585482663157486,0.4467964064774536,0.4471780008683319,0.4418830751746444
